ID,会場番号,地域,区・市町村,会場名,住所,開始時刻,受付終了,駐車場,緯度,経度,交通情報,アクセス時間,開催日,予約終了,9:00～09:30,9:30～10:00,10:00～10:30,10:30～11:00,11:00～11:30,11:30～12:00,12:00～12:30,12:30～13:00,13:00～13:30,13:30～14:00,14:00～14:30,14:30～15:00,15:00～15:30,15:30～16:00,16:00～16:30,16:30～17:00,計
1,1,東京都,港区,サンプル会館 A,東京都港区芝公園4丁目2-8,9:30,15:00,○,35.6584491,139.7455360,都営大江戸線「赤羽橋駅」赤羽橋口,徒歩5分,2026-07-17,2026-07-03,,15,21,22,22,,,,15,22,22,22,,,,,161
2,2,東京都,墨田区,サンプル会館 B,東京都墨田区押上1丁目1-2,9:30,15:00,○,35.7100543,139.8107141,東武スカイツリーライン「とうきょうスカイツリー駅」,直結,2026-10-13,2026-09-29,,15,21,22,22,,,,15,22,22,22,,,,,161
3,3,東京都,千代田区,サンプル会館 C,東京都千代田区永田町1丁目7-1,9:30,15:00,×,35.6758864,139.7450514,東京メトロ丸ノ内線・千代田線「国会議事堂前駅」1番出口,徒歩3分,2026-07-23,2026-07-09,,15,21,22,22,,,,15,22,22,22,,,,,161
4,4,東京都,新宿区,サンプル会館 D,東京都新宿区西新宿2丁目8-1,9:30,15:00,○,35.6902989,139.6915456,都営大江戸線「都庁前駅」A4出口,直結,2026-08-07,2026-07-24,,15,21,22,22,,,,15,22,22,22,,,,,161
5,5,東京都,千代田区,サンプル会館 E,東京都千代田区丸の内1丁目9-1,9:30,15:00,×,35.6811505,139.7659765,JR「東京駅」丸の内中央口,徒歩1分,2026-09-25,2026-09-11,,15,21,22,22,,,,15,22,22,22,,,,,161
6,6,東京都,新宿区,サンプル会館 F,東京都新宿区霞ヶ丘町10-1,9:30,15:00,×,35.6801003,139.7139442,都営大江戸線「国立競技場駅」A2出口,徒歩1分,2026-09-09,2026-08-26,,15,21,22,22,,,,15,22,22,22,,,,,161
7,7,大阪府,大阪市中央区,サンプル会館 G,大阪府大阪市中央区大阪城1-1,9:30,15:00,○,34.6871828,135.5253958,JR大阪環状線「大阪城公園駅」,徒歩20分,2026-09-11,2026-08-28,,15,21,22,22,,,,15,22,22,22,,,,,161
8,8,大阪府,大阪市浪速区,サンプル会館 H,大阪府大阪市浪速区恵美須東1丁目18-6,9:30,15:00,×,34.6525393,135.5063098,大阪メトロ堺筋線「恵美須町駅」3番出口,徒歩3分,2026-11-17,2026-11-03,,15,21,22,22,,,,15,22,22,22,,,,,161
9,9,大阪府,大阪市阿倍野区,サンプル会館 I,大阪府大阪市阿倍野区阿倍野筋1丁目1-43,9:30,15:00,○,34.6457685,135.5140068,近鉄南大阪線「大阪阿部野橋駅」,直結,2026-09-17,2026-09-03,,15,21,22,22,,,,15,22,22,22,,,,,161
10,10,京都府,京都市北区,サンプル会館 J,京都府京都市北区金閣寺町1,9:30,15:00,○,35.0395293,135.7295373,京都市バス「金閣寺道」下車,徒歩3分,2026-10-23,2026-10-09,,15,21,22,22,,,,15,22,22,22,,,,,161
11,11,京都府,京都市東山区,サンプル会館 K,京都府京都市東山区清水1丁目294,9:30,15:00,×,34.9943030,135.7844389,京都市バス「五条坂」下車,徒歩10分,2026-09-02,2026-08-19,,15,21,22,22,,,,15,22,22,22,,,,,161
12,12,京都府,京都市下京区,サンプル会館 L,京都府京都市下京区東塩小路町721-1,9:30,15:00,×,34.9875524,135.7593295,JR「京都駅」中央口,徒歩2分,2026-08-24,2026-08-10,,15,21,22,22,,,,15,22,22,22,,,,,161
13,13,兵庫県,姫路市,サンプル会館 M,兵庫県姫路市本町68,9:30,15:00,○,34.8393313,134.6940200,JR「姫路駅」北口,徒歩20分,2026-10-07,2026-09-23,,15,21,22,22,,,,15,22,22,22,,,,,161
14,14,愛知県,名古屋市中区,サンプル会館 N,愛知県名古屋市中区本丸1-1,9:30,15:00,○,35.1855816,136.8990858,名古屋市営地下鉄名城線「名古屋城駅」7番出口,徒歩5分,2026-09-16,2026-09-02,,15,21,22,22,,,,15,22,22,22,,,,,161
15,15,広島県,広島市中区,サンプル会館 O,広島県広島市中区大手町1丁目10,10:00,15:00,×,34.3954661,132.4535245,広島電鉄「原爆ドーム前」電停,徒歩1分,2026-07-14,2026-06-30,,,21,22,22,15,,,15,22,22,22,,,,,161
16,16,宮城県,仙台市青葉区,サンプル会館 P,宮城県仙台市青葉区川内1,9:30,15:00,×,38.2527000,140.8561000,仙台市地下鉄東西線「国際センター駅」,徒歩15分,2026-08-28,2026-08-14,,15,21,22,22,,,,15,22,22,22,,,,,161
17,17,神奈川県,横浜市西区,サンプル会館 Q,神奈川県横浜市西区みなとみらい2丁目2-1,9:30,15:00,○,35.4545980,139.6314519,みなとみらい線「みなとみらい駅」,徒歩3分,2026-11-05,2026-10-22,,15,21,22,22,,,,15,22,22,22,,,,,161
18,18,福岡県,福岡市早良区,サンプル会館 R,福岡県福岡市早良区百道浜2丁目3-26,9:30,15:00,○,33.5932744,130.3514862,西鉄バス「福岡タワー」下車,徒歩1分,2026-11-04,2026-10-21,,15,21,22,22,,,,15,22,22,22,,,,,161
19,19,沖縄県,那覇市,サンプル会館 S,沖縄県那覇市首里金城町1丁目2,9:30,15:00,○,26.2170014,127.7193727,ゆいレール「首里駅」,徒歩15分,2026-09-28,2026-09-14,,15,21,22,22,,,,15,22,22,22,,,,,161
20,20,奈良県,奈良市,サンプル会館 T,奈良県奈良市雑司町406-1,9:30,15:00,×,34.6834907,135.8407037,奈良交通バス「東大寺大仏殿・春日大社前」下車,徒歩5分,2026-10-01,2026-09-17,,15,21,22,22,,,,15,22,22,22,,,,,161
